omni_omni.log GSM

#COORD
GSM

#DELAY
1800
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
 2016  5  6  8 59  0   0    2.36  -10.07    0.01  -348.75   -34.54   -31.63     6.21     412355.0
 2016  5  6  9  0  0   0    3.16   -9.74   -0.13  -348.38   -34.78   -31.58     6.17     412077.2
 2016  5  6  9  1  0   0    3.25   -9.77    0.29  -348.01   -35.02   -31.52     6.14     411799.5
 2016  5  6  9  2  0   0    2.58   -9.87   -0.15  -347.65   -35.26   -31.46     6.11     411521.7
 2016  5  6  9  3  0   0    1.90  -10.03   -1.09  -348.31   -36.17   -31.60     6.12     409615.9
 2016  5  6  9  4  0   0    3.20   -9.76   -0.71  -348.98   -37.08   -31.74     6.14     407710.1
 2016  5  6  9  5  0   0    2.91   -9.92   -0.82  -349.65   -37.98   -31.88     6.16     405804.2
 2016  5  6  9  6  0   0    3.04  -10.12    0.18  -350.32   -38.89   -32.02     6.18     403898.4
 2016  5  6  9  7  0   0    3.40   -9.97    0.05  -350.99   -39.80   -32.16     6.20     401992.5
 2016  5  6  9  8  0   0    3.38  -10.09    0.60  -351.65   -40.71   -32.30     6.22     400086.7
 2016  5  6  9  9  0   0    3.40  -10.11    0.75  -352.32   -41.62   -32.44     6.24     398180.8
 2016  5  6  9 10  0   0    3.10  -10.17    0.26  -352.99   -42.53   -32.58     6.26     396275.0
 2016  5  6  9 11  0   0    2.96  -10.33    0.45  -353.66   -43.44   -32.72     6.28     394369.2
 2016  5  6  9 12  0   0    3.37   -9.96   -0.21  -353.72   -43.44   -32.77     6.27     393787.8
 2016  5  6  9 13  0   0    3.88   -9.50   -0.65  -353.77   -43.44   -32.82     6.26     393206.4
 2016  5  6  9 14  0   0    4.28   -9.53   -0.42  -353.83   -43.43   -32.86     6.25     392625.0
 2016  5  6  9 15  0   0    3.89   -9.60   -1.03  -353.89   -43.43   -32.91     6.24     392043.6
 2016  5  6  9 16  0   0    3.78   -9.47   -1.77  -353.95   -43.43   -32.96     6.23     391462.2
 2016  5  6  9 17  0   0    3.58   -9.57   -1.56  -354.00   -43.43   -33.00     6.22     390880.8
 2016  5  6  9 18  0   0    3.51   -9.69   -0.97  -354.06   -43.43   -33.05     6.21     390299.4
 2016  5  6  9 19  0   0    3.87   -9.67   -1.04  -354.12   -43.43   -33.10     6.20     389718.0
 2016  5  6  9 20  0   0    4.38   -9.37   -1.61  -354.18   -43.43   -33.14     6.19     389136.6
 2016  5  6  9 21  0   0    4.06   -9.62   -1.11  -354.24   -43.42   -33.19     6.18     388555.2
 2016  5  6  9 22  0   0    4.05   -9.58   -0.50  -356.43   -40.90   -30.95     6.15     414945.4
 2016  5  6  9 23  0   0    3.81   -9.47    0.59  -358.63   -38.38   -28.70     6.13     441335.6
 2016  5  6  9 24  0   0    3.72   -9.42    0.77  -360.83   -35.86   -26.46     6.10     467725.9
 2016  5  6  9 25  0   0    3.04   -9.26    1.28  -363.03   -33.34   -24.21     6.08     494116.1
 2016  5  6  9 26  0   0    1.54   -8.80    3.97  -365.22   -30.82   -21.97     6.06     520506.4
 2016  5  6  9 27  0   0    0.91   -9.55    2.93  -367.42   -28.30   -19.73     6.03     546896.6
 2016  5  6  9 28  0   0    1.84   -9.60    2.39  -369.62   -25.78   -17.48     6.01     573286.8
 2016  5  6  9 29  0   0    2.21   -8.50    2.33  -371.82   -23.26   -15.24     5.98     599677.1
 2016  5  6  9 30  0   0   -4.12   -4.98    8.01  -374.01   -20.74   -12.99     5.96     626067.3
 2016  5  6  9 31  0   0   -3.45   -6.02    7.41  -371.79   -22.06   -14.52     6.21     611595.6
 2016  5  6  9 32  0   0   -3.24   -6.96    6.51  -369.58   -23.37   -16.05     6.45     597123.8
 2016  5  6  9 33  0   0   -3.53   -6.46    7.10  -367.36   -24.69   -17.57     6.70     582652.1
 2016  5  6  9 34  0   0   -3.75   -6.61    6.52  -365.14   -26.00   -19.10     6.95     568180.4
 2016  5  6  9 35  0   0   -3.52   -6.46    7.13  -362.92   -27.32   -20.63     7.20     553708.6
 2016  5  6  9 36  0   0   -2.38   -6.88    7.50  -360.70   -28.64   -22.16     7.44     539236.9
 2016  5  6  9 37  0   0   -3.19   -7.46    6.64  -358.49   -29.95   -23.68     7.69     524765.2
 2016  5  6  9 38  0   0   -2.53   -7.94    6.60  -356.27   -31.27   -25.21     7.94     510293.4
 2016  5  6  9 39  0   0    2.15   -8.81    2.33  -354.05   -32.58   -26.74     8.18     495821.7
 2016  5  6  9 40  0   0    4.43   -8.26   -0.44  -352.70   -29.80   -27.20     8.19     490510.3
 2016  5  6  9 41  0   0    6.23   -7.18   -2.67  -351.36   -27.02   -27.67     8.20     485198.8
 2016  5  6  9 42  0   0    6.32   -7.25   -2.65  -350.02   -24.24   -28.14     8.21     479887.4
 2016  5  6  9 43  0   0    7.07   -6.41   -3.02  -348.67   -21.46   -28.61     8.22     474575.9
 2016  5  6  9 44  0   0    6.67   -5.18   -4.52  -347.33   -18.68   -29.08     8.23     469264.5
 2016  5  6  9 45  0   0    6.21   -5.61   -4.53  -345.99   -15.90   -29.55     8.24     463953.1
 2016  5  6  9 46  0   0    6.47   -6.30   -4.40  -344.64   -13.11   -30.02     8.24     458641.6
 2016  5  6  9 47  0   0    6.49   -5.91   -4.20  -343.30   -10.33   -30.49     8.25     453330.2
 2016  5  6  9 48  0   0    6.30   -5.57   -4.72  -341.95    -7.55   -30.96     8.26     448018.8
