omni_omni.log GSM

#COORD
GSM

#DELAY
1800
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
 2022 10 23 20  1  0   0    6.07    4.49    2.33  -503.17    93.03   -75.85     8.01    1139881.0
 2022 10 23 20  2  0   0    6.65    3.80   -0.53  -503.16    91.69   -78.07     8.06    1120290.3
 2022 10 23 20  3  0   0    6.66    3.67   -0.87  -503.16    90.35   -80.28     8.12    1100699.5
 2022 10 23 20  4  0   0    5.76    4.55   -0.98  -503.15    89.01   -82.50     8.18    1081108.7
 2022 10 23 20  5  0   0    5.06    5.45   -2.83  -503.15    87.67   -84.71     8.23    1061517.9
 2022 10 23 20  6  0   0    5.76    3.26   -4.95  -503.14    86.33   -86.93     8.29    1041927.1
 2022 10 23 20  7  0   0    5.41    3.16   -5.41  -503.13    84.99   -89.14     8.35    1022336.3
 2022 10 23 20  8  0   0    2.48    0.15   -6.21  -503.13    83.65   -91.36     8.40    1002745.5
 2022 10 23 20  9  0   0    1.84    0.46   -8.43  -503.12    82.31   -93.57     8.46     983154.7
 2022 10 23 20 10  0   0    5.85   -0.81   -5.72  -503.12    80.97   -95.79     8.52     963563.9
 2022 10 23 20 11  0   0    4.93   -0.85   -5.93  -503.50    81.32   -96.25     8.47     962327.5
 2022 10 23 20 12  0   0    5.70    3.07   -5.74  -503.88    81.67   -96.71     8.42     961091.1
 2022 10 23 20 13  0   0    6.37    4.82   -3.65  -504.26    82.02   -97.17     8.37     959854.7
 2022 10 23 20 14  0   0    5.23    6.09   -0.88  -504.65    82.36   -97.63     8.32     958618.2
 2022 10 23 20 15  0   0    5.85    2.69   -3.90  -505.03    82.71   -98.09     8.28     957381.8
 2022 10 23 20 16  0   0    6.86    1.37   -4.86  -505.41    83.06   -98.55     8.23     956145.4
 2022 10 23 20 17  0   0    7.73    1.23   -5.31  -505.80    83.41   -99.01     8.18     954909.0
 2022 10 23 20 18  0   0    7.97    0.08   -5.40  -506.18    83.75   -99.47     8.13     953672.5
 2022 10 23 20 19  0   0    7.35   -0.06   -5.59  -506.56    84.10   -99.93     8.09     952436.1
 2022 10 23 20 20  0   0    7.40    2.94   -2.35  -505.57    84.64   -95.87     8.03     971883.6
 2022 10 23 20 21  0   0    8.60    2.05   -2.27  -504.57    85.18   -91.81     7.97     991331.1
 2022 10 23 20 22  0   0    7.83    3.26   -0.67  -503.58    85.71   -87.75     7.91    1010778.6
 2022 10 23 20 23  0   0    7.87    3.92    0.51  -502.59    86.25   -83.70     7.85    1030226.1
 2022 10 23 20 24  0   0    7.35    4.52    1.81  -501.59    86.79   -79.64     7.80    1049673.5
 2022 10 23 20 25  0   0    6.48    4.84    2.63  -500.60    87.32   -75.58     7.74    1069121.0
 2022 10 23 20 26  0   0    6.34    5.31    2.41  -499.60    87.86   -71.52     7.68    1088568.5
 2022 10 23 20 27  0   0    7.72    2.77    2.77  -498.61    88.40   -67.46     7.62    1108016.0
 2022 10 23 20 28  0   0    7.10    2.79    2.97  -497.62    88.93   -63.40     7.57    1127463.5
 2022 10 23 20 29  0   0    7.41    1.97    2.99  -497.84    88.64   -63.32     7.57    1129354.8
 2022 10 23 20 30  0   0    7.26    1.66    2.92  -498.06    88.35   -63.24     7.57    1131246.2
 2022 10 23 20 31  0   0    7.40    1.40    2.56  -498.28    88.06   -63.16     7.57    1133137.5
 2022 10 23 20 32  0   0    7.36    1.38    2.86  -498.50    87.76   -63.08     7.57    1135028.9
 2022 10 23 20 33  0   0    7.15    1.56    3.26  -498.72    87.47   -63.00     7.58    1136920.2
 2022 10 23 20 34  0   0    7.58   -1.80    3.04  -498.94    87.18   -62.92     7.58    1138811.5
 2022 10 23 20 35  0   0    6.86   -2.75    3.67  -499.16    86.88   -62.84     7.58    1140702.9
 2022 10 23 20 36  0   0    7.58   -1.77    3.60  -499.38    86.59   -62.76     7.58    1142594.2
 2022 10 23 20 37  0   0    7.13   -1.04    3.54  -499.60    86.30   -62.68     7.58    1144485.6
 2022 10 23 20 38  0   0    7.28    1.29    1.41  -499.82    86.00   -62.60     7.58    1146376.9
 2022 10 23 20 39  0   0    4.86   -2.60    2.72  -500.36    85.95   -62.16     7.62    1138809.4
 2022 10 23 20 40  0   0    0.17   -7.53    3.84  -500.89    85.89   -61.72     7.66    1131241.9
 2022 10 23 20 41  0   0    0.54   -7.83    3.47  -501.43    85.84   -61.28     7.70    1123674.3
 2022 10 23 20 42  0   0   -0.05   -8.06    3.12  -501.96    85.79   -60.84     7.74    1116106.8
 2022 10 23 20 43  0   0    3.39   -5.46    5.95  -502.50    85.73   -60.40     7.78    1108539.3
 2022 10 23 20 44  0   0    2.83   -0.64    7.33  -503.03    85.68   -59.97     7.82    1100971.8
