omni_ideal.log GSM

#COORD
GSM

#DELAY
1800
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
 2024  5 13  1 12  0   0   -6.24    2.68   -2.77   799.60    -3.10    11.60     7.18     107305.0
 2024  5 13  1 13  0   0   -6.10    2.33   -3.03   801.90    -7.20    10.00     7.11     101552.0
 2024  5 13  1 14  0   0   -6.39    3.38   -2.52   801.90    -7.20    10.00     7.11     101552.0
 2024  5 13  1 16  0   0   -6.26    2.00   -2.88   801.70    -1.70    11.90     6.88     101007.0
 2024  5 13  1 17  0   0   -6.24    3.40   -2.81   801.70    -1.70    11.90     6.88     101007.0
 2024  5 13  1 18  0   0   -6.05    1.82   -2.91   821.10    11.70     7.80     6.39     120461.0
 2024  5 13  1 19  0   0   -6.29    2.55   -1.98   821.40    11.90     7.70     6.38     120776.0
 2024  5 13  1 21  0   0   -6.05    1.83   -2.95   803.40    -4.80    15.00     6.78      99284.0
 2024  5 13  1 22  0   0   -6.16    1.30   -2.62   803.50    -4.80    14.90     6.78      99331.0
 2024  5 13  1 23  0   0   -6.29    3.08   -1.31   810.10    -5.00     7.70     7.67     103008.0
 2024  5 13  1 24  0   0   -6.39    1.96   -2.03   810.40    -5.00     7.30     7.72     103194.0
 2024  5 13  1 26  0   0   -6.47    2.68   -1.25   818.00     2.40    18.10     7.93     149372.0
 2024  5 13  1 27  0   0   -6.34    2.53   -1.09   820.20     6.70    15.00     6.80     121531.0
 2024  5 13  1 28  0   0   -6.20    2.36   -1.35   814.40     4.80    20.10     7.52     115913.0
 2024  5 13  1 29  0   0   -6.15    2.79   -1.34   815.30     2.30    14.20     7.61     159068.0
 2024  5 13  1 30  0   0   -6.23    2.24   -1.55   813.10     6.90    14.20     7.29     137872.0
 2024  5 13  1 31  0   0   -6.40    2.27   -1.51   810.20     3.70    13.20     7.19     121645.0
 2024  5 13  1 32  0   0   -6.37    2.41   -1.66   807.10     0.20    14.10     7.01     114215.0
 2024  5 13  1 33  0   0   -6.02    2.17   -1.50   811.00     8.00    16.10     7.71     114291.0
 2024  5 13  1 34  0   0   -5.95    2.29   -1.46   815.00     4.30     9.50     8.29     109501.0
 2024  5 13  1 35  0   0   -5.94    2.03   -1.68   821.40     1.10     4.70     6.44     119000.0
 2024  5 13  1 36  0   0   -5.99    2.08   -1.72   818.20    11.70     0.80     6.55     116345.0
 2024  5 13  1 37  0   0   -5.81    2.39   -1.47   817.40     8.50     7.60     6.80     119052.0
 2024  5 13  1 38  0   0   -5.86    2.36   -1.41   817.60     3.40     9.30     7.71     157881.0
 2024  5 13  1 39  0   0   -5.94    1.77   -2.11   815.40     5.60    13.40     8.01     151755.0
 2024  5 13  1 40  0   0   -5.57    2.05   -3.35   813.00    -2.50    20.40     6.84     112539.0
 2024  5 13  1 42  0   0   -5.95    2.77   -1.47   814.70     5.20     9.40     8.16     161585.0
 2024  5 13  1 43  0   0   -5.93    2.97   -2.14   814.70     5.20     9.40     8.16     161585.0
 2024  5 13  1 44  0   0   -5.86    3.24   -2.56   814.70     5.20     9.40     8.16     161585.0
 2024  5 13  1 53  0   0   -6.21    2.81   -2.33   796.10    -4.60    32.10     5.40      74367.0
 2024  5 13  1 54  0   0   -6.15    2.80   -2.37   796.10    -4.60    32.10     5.40      74367.0
 2024  5 13  2  1  0   0   -6.27    2.75   -2.46   791.70    -1.90    33.40     5.24      74537.0
 2024  5 13  2  2  0   0   -6.30    2.71   -2.36   791.70    -1.90    33.40     5.24      74537.0
 2024  5 13  2  7  0   0   -6.48    2.87   -2.80   795.80    -0.70    34.90     4.72      93014.0
 2024  5 13  2  8  0   0   -6.27    3.06   -3.42   795.80    -0.70    34.90     4.72      93014.0
 2024  5 13  2  9  0   0   -6.09    3.27   -4.15   798.10    -0.60    21.10     3.75      67875.0
 2024  5 13  2 10  0   0   -6.36    3.05   -3.52   799.00    -0.50    15.90     3.38      58441.0
 2024  5 13  2 11  0   0   -6.44    2.93   -3.60   800.80    -6.70    19.30     5.89      87915.0
 2024  5 13  2 12  0   0   -6.17    3.08   -1.77   801.30    -4.70    19.30     5.08      76608.0
 2024  5 13  2 13  0   0   -6.11    2.15   -1.77   806.00   -10.50    23.50     5.50      69113.0
 2024  5 13  2 14  0   0   -6.04    2.20   -1.76   811.90   -16.20    25.50     6.14      74175.0
 2024  5 13  2 15  0   0   -6.39    2.08   -1.25   811.10   -13.90    24.00     6.33      91661.0
 2024  5 13  2 16  0   0   -6.19    2.19   -1.48   808.10    -9.20    33.50     6.06      93093.0
 2024  5 13  2 17  0   0   -6.60    1.93   -1.13   807.80   -12.60    31.00     6.64      88613.0
 2024  5 13  2 18  0   0   -6.34    2.55    0.20   806.20   -15.20    30.70     6.36      84301.0
 2024  5 13  2 19  0   0   -6.30    2.29    0.58   805.10   -14.50    31.80     6.76      88113.0
 2024  5 13  2 20  0   0   -7.15    1.20   -0.21   811.60   -14.30    32.50     7.12      77719.0
 2024  5 13  2 21  0   0   -7.18    1.27   -0.27   808.80   -13.60    29.30     6.93      80579.0
 2024  5 13  2 22  0   0   -7.12    1.64   -0.28   806.20   -15.10    27.90     6.72     101270.0
 2024  5 13  2 23  0   0   -7.50    1.18   -0.47   810.00   -13.60    31.20     7.18     103489.0
 2024  5 13  2 24  0   0   -7.53    1.15   -0.88   809.00   -19.10    26.10     7.26      80292.0
 2024  5 13  2 25  0   0   -7.57    1.28   -0.98   810.40   -22.20    23.20     6.93      71146.0
 2024  5 13  2 26  0   0   -7.47    1.34   -1.05   810.00   -20.90    25.50     7.07      75947.0
 2024  5 13  2 27  0   0   -7.26    1.86   -1.40   809.60   -19.90    27.10     7.18      79457.0
 2024  5 13  2 28  0   0   -6.87    2.20   -1.61   808.70   -18.80    28.60     7.56      82288.0
 2024  5 13  2 29  0   0   -7.00    2.03   -1.70   808.70   -18.80    28.60     7.56      82288.0
 2024  5 13  2 30  0   0   -7.05    2.06   -1.48   808.60   -19.70    26.90     7.84      83920.0
 2024  5 13  2 31  0   0   -7.15    2.11   -1.66   808.50   -19.70    26.60     7.86      83890.0
 2024  5 13  2 32  0   0   -7.07    2.20   -1.68   805.20   -18.20    25.50     7.50      77409.0
 2024  5 13  2 33  0   0   -7.01    2.12   -1.75   807.40   -21.40    21.80     7.61      81699.0
 2024  5 13  2 34  0   0   -7.02    2.08   -0.90   808.10   -19.00    25.30     7.64      89898.0
 2024  5 13  2 35  0   0   -6.93    2.02   -1.88   807.50   -14.20    31.70     7.59      96281.0
 2024  5 13  2 37  0   0   -6.78    2.36   -2.51   800.60   -17.70    16.50     7.33      93870.0
 2024  5 13  2 38  0   0   -6.73    2.33   -2.56   800.60   -17.70    16.50     7.33      93825.0
 2024  5 13  2 39  0   0   -6.71    2.10   -2.37   798.90    -9.40     7.00     7.39      69691.0
 2024  5 13  2 40  0   0   -6.82    1.72   -2.05   799.40    -9.60     5.60     7.55      71928.0
 2024  5 13  2 41  0   0   -6.77    1.69   -2.14   800.00    -9.90     4.10     7.75      74465.0
 2024  5 13  2 42  0   0   -6.23    2.27   -2.74   798.50    -9.70     5.00     7.79      73938.0
 2024  5 13  2 43  0   0   -6.69    1.43   -2.22   798.10    -9.70    10.80     7.86      76646.0
 2024  5 13  2 44  0   0   -5.80    3.09   -2.87   798.80   -10.20    13.30     7.58      80954.0
 2024  5 13  2 45  0   0   -6.03    2.83   -2.81   798.60    -9.70    14.80     7.81      79220.0
 2024  5 13  2 46  0   0   -6.02    3.27   -2.52   798.70    -9.50    14.80     7.87      79496.0
 2024  5 13  2 47  0   0   -5.81    3.38   -2.61   799.80    -8.20    10.80     7.88      87316.0
 2024  5 13  2 48  0   0   -6.25    2.45   -2.32   801.80   -12.70    10.30     7.58      79915.0
 2024  5 13  2 49  0   0   -6.03    2.84   -2.19   803.10   -12.90    10.20     7.40      83204.0
 2024  5 13  2 50  0   0   -5.97    2.52   -2.33   805.00   -12.20    10.20     7.17      91032.0
 2024  5 13  2 51  0   0   -6.11    2.87   -1.85   800.90   -10.90    11.20     6.99      97812.0
 2024  5 13  2 52  0   0   -6.20    2.57   -2.13   802.20   -12.40    10.50     7.06      94301.0
 2024  5 13  2 53  0   0   -6.23    2.39   -2.53   804.40   -14.70     9.30     7.15      87850.0
 2024  5 13  2 54  0   0   -5.77    3.28   -2.58   801.50    -8.50     9.50     6.54      83273.0
 2024  5 13  2 55  0   0   -5.24    3.57   -2.67   799.00    -8.60    13.50     7.32      80643.0
 2024  5 13  2 56  0   0   -5.17    4.13   -2.94   800.20    -9.40    12.50     7.04      78548.0
 2024  5 13  2 57  0   0   -6.78    1.15   -1.50   800.00   -10.40    14.20     6.19      74425.0
 2024  5 13  2 58  0   0   -7.81   -0.73   -0.74   796.00   -11.10    22.50     4.80      67937.0
 2024  5 13  3  0  0   0   -7.45    0.68   -1.65   790.80    -7.90    14.20     5.31      64061.0
 2024  5 13  3  1  0   0   -7.21    0.49   -1.32   790.80    -7.90    14.20     5.31      64061.0
 2024  5 13  3  2  0   0   -7.03    0.92   -1.19   796.10    -7.30    10.70     5.72      87737.0
 2024  5 13  3  3  0   0   -7.19    1.33   -1.87   797.50    -7.00    10.40     5.70      91232.0
 2024  5 13  3  4  0   0   -7.09    1.74   -1.89   796.90    -6.70    13.70     5.10      76891.0
 2024  5 13  3  5  0   0   -7.05    1.86   -1.51   794.70   -13.40    13.30     4.69      87374.0
 2024  5 13  3  6  0   0   -6.38    2.16   -1.35   797.30   -11.50    12.90     5.02      90388.0
 2024  5 13  3  7  0   0   -4.51    2.96   -2.15   804.60    -5.70    11.80     5.92      97273.0
 2024  5 13  3  8  0   0   -3.62    2.87   -2.53   798.80    -8.60    18.30    12.14      83677.0
 2024  5 13  3  9  0   0   -2.30    2.77   -2.88   799.30    -8.40    16.90    11.11      85193.0
 2024  5 13  3 10  0   0   -2.79    2.76   -2.95   800.40    -8.10    14.00     8.96      90490.0
 2024  5 13  3 11  0   0   -4.01    2.55   -2.83   795.00    -3.80    15.10     9.24      87503.0
 2024  5 13  3 12  0   0   -2.60    3.34   -1.33   802.80   -12.00    14.80     9.61      88983.0
 2024  5 13  3 13  0   0   -3.39    3.44   -2.06   809.70   -15.10    10.10     6.77      78068.0
 2024  5 13  3 14  0   0   -2.64    3.47   -2.54   807.40    -8.90     9.30     6.17      85518.0
 2024  5 13  3 15  0   0   -1.99    4.03   -2.19   810.10    -4.30    12.40     6.25      83913.0
 2024  5 13  3 16  0   0   -0.31    3.88   -3.42   805.60    -7.80    17.60     9.04      72279.0
 2024  5 13  3 17  0   0    0.93    3.58   -3.00   800.90    -2.80    17.80    10.41      70304.0
